"input_name","market_hash_name","type"
"2025年奥斯汀锦标赛炼狱小镇高光纪念包","Austin 2025 Inferno Souvenir Highlight Package","高光时刻 普通级 武器箱"
"2025年奥斯汀锦标赛炼狱小镇纪念包","Austin 2025 Inferno Souvenir Package","普通级 武器箱"
"2025年奥斯汀锦标赛炙热沙城 II 高光纪念包","Austin 2025 Dust II Souvenir Highlight Package","高光时刻 普通级 武器箱"
"2025年奥斯汀锦标赛炙热沙城 II 纪念包","Austin 2025 Dust II Souvenir Package","普通级 武器箱"
"2025年奥斯汀锦标赛核子危机高光纪念包","Austin 2025 Nuke Souvenir Highlight Package","高光时刻 普通级 武器箱"
"2025年奥斯汀锦标赛核子危机纪念包","Austin 2025 Nuke Souvenir Package","普通级 武器箱"
"2025年奥斯汀锦标赛挑战组印花胶囊","Austin 2025 Challengers Sticker Capsule","普通级 武器箱"
"2025年奥斯汀锦标赛挑战组亲笔签名胶囊","Austin 2025 Challengers Autograph Capsule","普通级 武器箱"
"2025年奥斯汀锦标赛列车停放站高光纪念包","Austin 2025 Train Souvenir Highlight Package","高光时刻 普通级 武器箱"
"2025年奥斯汀锦标赛列车停放站纪念包","Austin 2025 Train Souvenir Package","普通级 武器箱"
"2025年奥斯汀锦标赛冠军亲笔签名胶囊","Austin 2025 Champions Autograph Capsule","普通级 武器箱"
"2025年奥斯汀锦标赛传奇组印花胶囊","Austin 2025 Legends Sticker Capsule","普通级 武器箱"
"2025年奥斯汀锦标赛传奇组亲笔签名胶囊","Austin 2025 Legends Autograph Capsule","普通级 武器箱"
"2024年哥本哈根锦标赛阿努比斯纪念包","Copenhagen 2024 Anubis Souvenir Package","普通级 武器箱"
"2024年哥本哈根锦标赛远古遗迹纪念包","Copenhagen 2024 Ancient Souvenir Package","普通级 武器箱"
"2024年哥本哈根锦标赛荒漠迷城纪念包","Copenhagen 2024 Mirage Souvenir Package","普通级 武器箱"
"2024年哥本哈根锦标赛竞争组印花胶囊","Copenhagen 2024 Contenders Sticker Capsule","普通级 武器箱"
"2024年哥本哈根锦标赛竞争组亲笔签名胶囊","Copenhagen 2024 Contenders Autograph Capsule","普通级 武器箱"
"2024年哥本哈根锦标赛炼狱小镇纪念包","Copenhagen 2024 Inferno Souvenir Package","普通级 武器箱"
"2024年哥本哈根锦标赛殒命大厦纪念包","Copenhagen 2024 Vertigo Souvenir Package","普通级 武器箱"
"2024年哥本哈根锦标赛死亡游乐园纪念包","Copenhagen 2024 Overpass Souvenir Package","普通级 武器箱"
"2024年哥本哈根锦标赛核子危机纪念包","Copenhagen 2024 Nuke Souvenir Package","普通级 武器箱"
"2024年哥本哈根锦标赛挑战组印花胶囊","Copenhagen 2024 Challengers Sticker Capsule","普通级 武器箱"
"2024年哥本哈根锦标赛挑战组亲笔签名胶囊","Copenhagen 2024 Challengers Autograph Capsule","普通级 武器箱"
"2024年哥本哈根锦标赛冠军亲笔签名胶囊","Copenhagen 2024 Champions Autograph Capsule","普通级 武器箱"
"2024年哥本哈根锦标赛传奇组印花胶囊","Copenhagen 2024 Legends Sticker Capsule","普通级 武器箱"
"2024年哥本哈根锦标赛传奇组亲笔签名胶囊","Copenhagen 2024 Legends Autograph Capsule","普通级 武器箱"
"2024年上海锦标赛阿努比斯纪念包","Shanghai 2024 Anubis Souvenir Package","普通级 武器箱"
"2024年上海锦标赛远古遗迹纪念包","Shanghai 2024 Ancient Souvenir Package","普通级 武器箱"
"2024年上海锦标赛荒漠迷城纪念包","Shanghai 2024 Mirage Souvenir Package","普通级 武器箱"
"2024年上海锦标赛竞争组印花胶囊","Shanghai 2024 Contenders Sticker Capsule","普通级 武器箱"
"2024年上海锦标赛竞争组亲笔签名胶囊","Shanghai 2024 Contenders Autograph Capsule","普通级 武器箱"
"2024年上海锦标赛炼狱小镇纪念包","Shanghai 2024 Inferno Souvenir Package","普通级 武器箱"
"2024年上海锦标赛炙热沙城 II 纪念包","Shanghai 2024 Dust II Souvenir Package","普通级 武器箱"
"2024年上海锦标赛殒命大厦纪念包","Shanghai 2024 Vertigo Souvenir Package","普通级 武器箱"
"2024年上海锦标赛核子危机纪念包","Shanghai 2024 Nuke Souvenir Package","普通级 武器箱"
"2024年上海锦标赛挑战组印花胶囊","Shanghai 2024 Challengers Sticker Capsule","普通级 武器箱"
"2024年上海锦标赛挑战组亲笔签名胶囊","Shanghai 2024 Challengers Autograph Capsule","普通级 武器箱"
"2024年上海锦标赛冠军亲笔签名胶囊","Shanghai 2024 Champions Autograph Capsule","普通级 武器箱"
"2024年上海锦标赛传奇组印花胶囊","Shanghai 2024 Legends Sticker Capsule","普通级 武器箱"
"2024年上海锦标赛传奇组亲笔签名胶囊","Shanghai 2024 Legends Autograph Capsule","普通级 武器箱"
"2023年巴黎锦标赛阿努比斯纪念包","Paris 2023 Anubis Souvenir Package","普通级 武器箱"
"2023年巴黎锦标赛远古遗迹纪念包","Paris 2023 Ancient Souvenir Package","普通级 武器箱"
"2023年巴黎锦标赛荒漠迷城纪念包","Paris 2023 Mirage Souvenir Package","普通级 武器箱"
"2023年巴黎锦标赛竞争组印花胶囊","Paris 2023 Contenders Sticker Capsule","普通级 武器箱"
"2023年巴黎锦标赛竞争组亲笔签名胶囊","Paris 2023 Contenders Autograph Capsule","普通级 武器箱"
"2023年巴黎锦标赛炼狱小镇纪念包","Paris 2023 Inferno Souvenir Package","普通级 武器箱"
"2023年巴黎锦标赛殒命大厦纪念包","Paris 2023 Vertigo Souvenir Package","普通级 武器箱"
"2023年巴黎锦标赛死亡游乐园纪念包","Paris 2023 Overpass Souvenir Package","普通级 武器箱"
"2023年巴黎锦标赛核子危机纪念包","Paris 2023 Nuke Souvenir Package","普通级 武器箱"
"2023年巴黎锦标赛挑战组印花胶囊","Paris 2023 Challengers Sticker Capsule","普通级 武器箱"
"2023年巴黎锦标赛挑战组亲笔签名胶囊","Paris 2023 Challengers Autograph Capsule","普通级 武器箱"
